sensorId,createdAt,value,lat,lon
63c8632ad37b36000733227b,2023-02-28T01:28:58.988Z,14.42,47.516104,19.056701
63f358354fbabe00074ecba3,2023-02-28T01:28:53.027Z,0.84,47.47018,19.078783
6217b0854f7ef7001bb35b33,2023-02-28T01:28:45.447Z,0.52,47.475369,19.015587
6040d2f38ad04a001bcb356f,2023-02-28T01:28:41.154Z,1.03,47.473679,19.056018
61fba00568c6fb001b8c5329,2023-02-28T01:28:40.725Z,3.44,47.504416,19.074067
63f358354fbabe00074ecba3,2023-02-28T01:28:39.344Z,0.85,47.47018,19.078783
609ee46125b716001c53b1fc,2023-02-28T01:28:37.543Z,14.80,47.506199,19.133976
5f4a2ed8327264001be939e6,2023-02-28T01:28:34.519Z,4.23,47.418744,19.015003
632accb7b6658f001be047ad,2023-02-28T01:28:34.368Z,3.67,47.47023,19.166389
61a12255d85cc7001bf7fdab,2023-02-28T01:28:30.844Z,1.18,47.530403,19.281569
6391e43f698b50001ce301f2,2023-02-28T01:28:28.527Z,9.10,47.50145,19.148263
6238444bbe6329001c8e4f58,2023-02-28T01:28:27.225Z,3.26,47.486088,19.064243
63f358354fbabe00074ecba3,2023-02-28T01:28:26.462Z,0.85,47.47018,19.078783
6040ca7d8ad04a001bc6fd49,2023-02-28T01:28:24.293Z,1.62,47.463627,19.014867
6348fcc09b62e5001b25ac3c,2023-02-28T01:28:23.260Z,1.20,47.473804,19.013598
612f4f89157184001bdf11f5,2023-02-28T01:28:23.141Z,20.44,47.504432,19.075575
615a2bcd7ea3fe001c5d77ab,2023-02-28T01:28:22.817Z,-0.04,47.5026,18.9403
5e41889919585f001bae8018,2023-02-28T01:28:21.490Z,3.15,47.536316,19.06253
615a29387ea3fe001c5c6730,2023-02-28T01:28:17.219Z,-0.13,47.50262,18.94011
63f358354fbabe00074ecba3,2023-02-28T01:28:14.078Z,0.79,47.47018,19.078783
6373ce7d1de963001bf57c88,2023-02-28T01:28:06.963Z,-0.34,47.602859,19.002431
63f358354fbabe00074ecba3,2023-02-28T01:28:01.441Z,0.83,47.47018,19.078783
5e56763a37f639001bd14bb4,2023-02-28T01:27:49.269Z,0.50,47.45692,19.016782
63f358354fbabe00074ecba3,2023-02-28T01:27:48.653Z,0.82,47.47018,19.078783
60c4dad1e650df001cc4978c,2023-02-28T01:27:36.873Z,-1.29,47.599754,19.241991
63f358354fbabe00074ecba3,2023-02-28T01:27:35.781Z,0.85,47.47018,19.078783
6391c79670c7ae001b0e1988,2023-02-28T01:27:30.575Z,1.55,47.479865,19.078794
61a12255d85cc7001bf7fdab,2023-02-28T01:27:27.492Z,1.24,47.530403,19.281569
63f358354fbabe00074ecba3,2023-02-28T01:27:21.923Z,0.86,47.47018,19.078783
5fee0624576ab7001ccf57c5,2023-02-28T01:27:18.742Z,0.63,47.522679,19.106484
615a2bcd7ea3fe001c5d77ab,2023-02-28T01:27:18.522Z,-0.04,47.5026,18.9403
633c4150ca8ac8001b7abbfc,2023-02-28T01:27:16.433Z,2.95,47.540238,19.072244
615a29387ea3fe001c5c6730,2023-02-28T01:27:13.384Z,-0.05,47.50262,18.94011
63f358354fbabe00074ecba3,2023-02-28T01:27:07.242Z,0.86,47.47018,19.078783
601ceca9e443a0001bcc937c,2023-02-28T01:27:03.418Z,3.34,47.361997,18.929267
5e3f35876a0f2d001bd440a0,2023-02-28T01:27:01.934Z,1.30,47.383982,19.218063
